DtBase;QtdReneg;SumVlrAtivo;SumVlrAtivoNF
02/2019;165.758;R$ 2,600,233,676;2600233675.7
03/2019;168.772;R$ 990,012,759;990012759.43
04/2019;183.584;R$ 1,111,057,122;1111057121.6
05/2019;198.256;R$ 1,648,658,346;1648658346.4
06/2019;202.862;R$ 1,117,119,278;1117119277.7
07/2019;211.041;R$ 1,644,441,165;1644441164.6
08/2019;238.245;R$ 1,434,308,313;1434308313.4
09/2019;196.597;R$ 1,363,505,363;1363505363.3
10/2019;202.851;R$ 1,188,286,555;1188286555.2
11/2019;178.488;R$ 1,057,715,884;1057715883.8
12/2019;202.314;R$ 2,947,892,983;2947892982.6
01/2020;196.321;R$ 1,370,772,637;1370772636.7
02/2020;200.167;R$ 1,062,612,571;1062612570.6
03/2020;165.312;R$ 1,329,418,437;1329418436.8
04/2020;170.774;R$ 2,064,840,733;2064840732.6
05/2020;285.283;R$ 4,980,279,465;4980279465.4
06/2020;504.833;R$ 6,538,775,385;6538775384.8
07/2020;451.596;R$ 4,321,643,736;4321643736
08/2020;341.439;R$ 3,345,500,440;3345500440.4
09/2020;299.400;R$ 3,240,444,248;3240444247.5
10/2020;249.308;R$ 2,343,516,883;2343516882.9
11/2020;242.803;R$ 2,653,827,560;2653827559.9
12/2020;240.037;R$ 2,198,463,164;2198463163.9
01/2021;222.430;R$ 3,111,193,345;3111193345.3
02/2021;209.074;R$ 2,483,773,610;2483773610.2
03/2021;261.514;R$ 3,090,905,648;3090905647.5
04/2021;249.257;R$ 2,392,510,895;2392510894.6
05/2021;227.703;R$ 2,138,355,503;2138355502.9
06/2021;200.754;R$ 1,963,531,886;1963531885.9
07/2021;199.422;R$ 1,864,069,300;1864069299.6
08/2021;236.015;R$ 2,084,035,971;2084035971.4
09/2021;183.931;R$ 1,667,984,210;1667984210.3
10/2021;193.610;R$ 1,756,076,776;1756076776.1
11/2021;202.893;R$ 2,028,252,193;2028252193.2
12/2021;213.680;R$ 2,304,885,204;2304885204.5
01/2022;194.597;R$ 1,723,373,158;1723373158.3
02/2022;281.535;R$ 2,129,009,454;2129009453.6
