CANAL;DtBase;QtdReneg;SumVlrAtivo;SumVlrAtivoNF
Assessorias;07/2020;147.366;R$ 1,396,113,329;1396113329.3
Assessorias;09/2020;135.997;R$ 1,416,410,758;1416410757.8
Não identificado;07/2020;133.604;R$ 735,648,217;735648216.53
Assessorias;08/2020;124.298;R$ 1,202,957,080;1202957079.6
Não identificado;06/2020;124.058;R$ 963,241,239;963241238.58
Assessorias;06/2020;119.141;R$ 2,377,265,621;2377265620.5
Assessorias;03/2021;113.129;R$ 1,187,790,512;1187790512.2
Não identificado;08/2019;106.318;R$ 430,849,486;430849485.88
Assessorias;04/2021;102.832;R$ 897,175,351;897175350.59
Assessorias;10/2020;97.439;R$ 644,894,565;644894564.95
Não identificado;06/2019;92.982;R$ 290,972,355;290972355.18
Assessorias;05/2021;91.077;R$ 806,012,022;806012022.22
Assessorias;05/2020;90.108;R$ 2,084,598,935;2084598934.5
Losango;02/2022;88.265;R$ 209,324,960;209324960.45
Assessorias;11/2020;87.941;R$ 1,243,489,657;1243489656.6
Assessorias;12/2020;86.060;R$ 735,525,634;735525634.36
Não identificado;08/2020;84.912;R$ 436,542,904;436542903.61
Assessorias;02/2021;82.087;R$ 1,037,841,891;1037841891.3
Agências;06/2020;80.725;R$ 2,123,768,786;2123768785.7
Não identificado;12/2020;79.589;R$ 381,829,886;381829885.52
Assessorias;06/2021;78.954;R$ 723,193,026;723193026.06
Não identificado;10/2019;78.561;R$ 338,040,494;338040494.47
Não identificado;11/2020;78.334;R$ 347,551,696;347551696.05
Assessorias;01/2021;77.898;R$ 1,685,495,978;1685495978.2
Não identificado;12/2019;76.138;R$ 302,429,053;302429052.88
N/D Prorrog Losango;06/2020;74.610;R$ 180,556,226;180556226.16
Não identificado;05/2020;74.363;R$ 561,654,696;561654695.51
Não identificado;05/2019;71.764;R$ 308,629,209;308629209.48
Não identificado;07/2019;71.746;R$ 314,759,025;314759025.47
Não identificado;09/2019;69.904;R$ 287,768,803;287768802.7
