Segmento;DtBase;QtdReneg;SumVlrAtivo
PRIME;02/2022;3025;R$ 158,820,066
BRAD_FINAN;02/2022;5450;R$ 102,208,432
PRIVATE;02/2022;2;R$ 190,673
BCO_IBI;02/2022;29288;R$ 49,853,987
EMPRESAS;02/2022;18;R$ 18,176,081
CBSS;02/2022;4792;R$ 8,571,663
CARTAOCRED;02/2022;8490;R$ 26,641,337
LOSANGO;02/2022;88784;R$ 210,233,080
CORPORATE;02/2022;4;R$ 9,938,259
VAREJO;02/2022;96930;R$ 1,262,217,651
BCO_POSTAL;02/2022;44752;R$ 282,158,225
PRIME;01/2022;2615;R$ 123,938,643
BCO_POSTAL;01/2022;45088;R$ 268,521,605
BRAD_FINAN;01/2022;5404;R$ 101,425,187
BCO_IBI;01/2022;29102;R$ 46,424,404
VAREJO;01/2022;95394;R$ 1,076,756,146
EMPRESAS;01/2022;25;R$ 61,015,644
CBSS;01/2022;4482;R$ 8,238,863
CARTAOCRED;01/2022;8244;R$ 23,781,401
LOSANGO;01/2022;4243;R$ 13,271,266
BCO_POSTAL;12/2021;47096;R$ 313,581,459
CARTAOCRED;12/2021;8174;R$ 22,054,391
BCO_IBI;12/2021;34078;R$ 50,637,669
LOSANGO;12/2021;4356;R$ 13,452,197
VAREJO;12/2021;104991;R$ 1,469,625,096
EMPRESAS;12/2021;27;R$ 18,074,188
BRAD_FINAN;12/2021;6312;R$ 120,763,531
CORPORATE;12/2021;10;R$ 77,766,002
CBSS;12/2021;4880;R$ 8,749,574
PRIME;12/2021;3756;R$ 210,181,096
LOSANGO;11/2021;20691;R$ 54,726,837
CORPORATE;11/2021;2;R$ 103,361,083
BCO_POSTAL;11/2021;40516;R$ 266,341,812
CBSS;11/2021;4463;R$ 7,600,668
EMPRESAS;11/2021;23;R$ 38,606,929
CARTAOCRED;11/2021;7296;R$ 19,063,221
PRIME;11/2021;3240;R$ 168,679,376
BCO_IBI;11/2021;28550;R$ 42,602,624
BRAD_FINAN;11/2021;6665;R$ 127,821,477
VAREJO;11/2021;91447;R$ 1,199,448,166
BCO_IBI;10/2021;27023;R$ 39,961,838
CARTAOCRED;10/2021;6167;R$ 15,719,689
BRAD_FINAN;10/2021;7060;R$ 132,561,402
CBSS;10/2021;5236;R$ 9,024,419
BCO_POSTAL;10/2021;38038;R$ 221,116,971
EMPRESAS;10/2021;43;R$ 72,713,313
VAREJO;10/2021;85333;R$ 959,730,547
PRIME;10/2021;2850;R$ 159,786,080
LOSANGO;10/2021;21856;R$ 52,658,809
CORPORATE;10/2021;4;R$ 92,803,707
CBSS;09/2021;5958;R$ 10,117,612
VAREJO;09/2021;89250;R$ 1,006,652,046
PRIME;09/2021;2754;R$ 156,156,266
BCO_POSTAL;09/2021;37640;R$ 209,667,289
BCO_IBI;09/2021;28559;R$ 39,937,750
LOSANGO;09/2021;6128;R$ 19,310,072
CORPORATE;09/2021;4;R$ 32,958,502
EMPRESAS;09/2021;30;R$ 27,354,482
CARTAOCRED;09/2021;5588;R$ 12,524,364
BRAD_FINAN;09/2021;8020;R$ 153,305,827
EMPRESAS;08/2021;419;R$ 225,772,207
CBSS;08/2021;6252;R$ 10,611,481
PRIME;08/2021;3089;R$ 171,349,396
CARTAOCRED;08/2021;6005;R$ 13,927,293
BRAD_FINAN;08/2021;8908;R$ 185,302,793
LOSANGO;08/2021;47564;R$ 154,477,964
BCO_IBI;08/2021;35050;R$ 55,485,122
BCO_POSTAL;08/2021;38423;R$ 208,137,471
VAREJO;08/2021;90305;R$ 1,058,972,245
BCO_POSTAL;07/2021;37355;R$ 204,659,597
CORPORATE;07/2021;3;R$ 89,007,360
VAREJO;07/2021;88886;R$ 1,074,905,387
PRIME;07/2021;3152;R$ 182,300,800
BCO_IBI;07/2021;40115;R$ 63,093,794
CARTAOCRED;07/2021;5792;R$ 12,316,861
LOSANGO;07/2021;9416;R$ 32,869,457
PRIVATE;07/2021;1;R$ 131,167
EMPRESAS;07/2021;169;R$ 44,580,088
BRAD_FINAN;07/2021;7561;R$ 148,682,000
CBSS;07/2021;6972;R$ 11,522,788
PRIME;06/2021;3084;R$ 180,678,442
CORPORATE;06/2021;9;R$ 128,959,658
BRAD_FINAN;06/2021;8720;R$ 184,023,336
CBSS;06/2021;6382;R$ 11,062,505
CARTAOCRED;06/2021;5364;R$ 12,464,961
VAREJO;06/2021;91225;R$ 1,046,850,265
BCO_IBI;06/2021;39895;R$ 63,842,502
LOSANGO;06/2021;9014;R$ 28,077,534
BCO_POSTAL;06/2021;36998;R$ 188,290,158
EMPRESAS;06/2021;63;R$ 119,282,524
BRAD_FINAN;05/2021;10582;R$ 233,326,319
CORPORATE;05/2021;11;R$ 45,088,582
CBSS;05/2021;5498;R$ 9,551,584
LOSANGO;05/2021;18126;R$ 46,689,428
VAREJO;05/2021;101514;R$ 1,207,862,488
EMPRESAS;05/2021;48;R$ 110,542,900
PRIVATE;05/2021;1;R$ 115,543
PRIME;05/2021;3632;R$ 194,344,459
CARTAOCRED;05/2021;5062;R$ 11,128,030
BCO_IBI;05/2021;42012;R$ 64,779,920
BCO_POSTAL;05/2021;41217;R$ 214,926,251
PRIME;04/2021;4170;R$ 226,504,467
BRAD_FINAN;04/2021;9227;R$ 235,896,165
EMPRESAS;04/2021;54;R$ 46,793,207
VAREJO;04/2021;117326;R$ 1,470,642,306
CARTAOCRED;04/2021;4921;R$ 10,483,745
BCO_POSTAL;04/2021;47142;R$ 281,582,640
LOSANGO;04/2021;24318;R$ 55,316,873
BCO_IBI;04/2021;36571;R$ 54,402,521
CBSS;04/2021;5525;R$ 10,022,852
CORPORATE;04/2021;3;R$ 866,120
LOSANGO;03/2021;9005;R$ 28,182,583
EMPRESAS;03/2021;67;R$ 76,966,122
BRAD_FINAN;03/2021;8900;R$ 195,529,376
BCO_POSTAL;03/2021;53555;R$ 341,320,897
VAREJO;03/2021;137091;R$ 1,801,503,076
CARTAOCRED;03/2021;5206;R$ 10,112,760
CBSS;03/2021;4660;R$ 8,318,080
PRIME;03/2021;5392;R$ 340,043,713
BCO_IBI;03/2021;37625;R$ 58,444,196
CORPORATE;03/2021;13;R$ 230,484,844
EMPRESAS;02/2021;34;R$ 142,006,460
BRAD_FINAN;02/2021;12755;R$ 269,090,301
CORPORATE;02/2021;6;R$ 438,946,082
VAREJO;02/2021;100586;R$ 1,103,873,059
PRIME;02/2021;3653;R$ 219,065,642
CBSS;02/2021;3237;R$ 5,583,621
LOSANGO;02/2021;7277;R$ 19,544,702
BCO_POSTAL;02/2021;39449;R$ 216,597,263
BCO_IBI;02/2021;36106;R$ 58,685,014
CARTAOCRED;02/2021;5971;R$ 10,381,465
BRAD_FINAN;01/2021;281;R$ 3,221,096
CORPORATE;01/2021;11;R$ 1,248,954,915
BCO_POSTAL;01/2021;45222;R$ 243,123,422
CARTAOCRED;01/2021;6719;R$ 12,309,094
BCO_IBI;01/2021;45027;R$ 74,900,242
PRIVATE;01/2021;1;R$ 84,082
VAREJO;01/2021;110941;R$ 1,212,079,165
PRIME;01/2021;4238;R$ 253,029,267
LOSANGO;01/2021;7310;R$ 20,098,645
EMPRESAS;01/2021;39;R$ 39,306,331
CBSS;01/2021;2641;R$ 4,087,086
BRAD_FINAN;12/2020;6830;R$ 156,756,242
EMPRESAS;12/2020;97;R$ 111,428,348
VAREJO;12/2020;112847;R$ 1,136,091,162
CORPORATE;12/2020;7;R$ 195,163,674
LOSANGO;12/2020;7649;R$ 17,667,458
BCO_IBI;12/2020;52252;R$ 78,574,364
BCO_POSTAL;12/2020;43303;R$ 238,226,779
CARTAOCRED;12/2020;8389;R$ 13,889,658
CBSS;12/2020;4448;R$ 9,683,746
PRIME;12/2020;4215;R$ 240,981,734
CORPORATE;11/2020;22;R$ 670,144,323
CBSS;11/2020;3956;R$ 8,578,023
BCO_POSTAL;11/2020;44579;R$ 232,956,510
PRIME;11/2020;4639;R$ 271,488,266
PRIVATE;11/2020;1;R$ 55,041
VAREJO;11/2020;118234;R$ 1,175,294,980
BCO_IBI;11/2020;43723;R$ 62,415,156
CARTAOCRED;11/2020;9318;R$ 14,759,141
BRAD_FINAN;11/2020;6727;R$ 157,176,466
LOSANGO;11/2020;11563;R$ 24,520,100
EMPRESAS;11/2020;41;R$ 36,439,554
BCO_IBI;10/2020;32634;R$ 40,635,562
PRIME;10/2020;5264;R$ 314,204,866
BRAD_FINAN;10/2020;7028;R$ 188,139,038
CORPORATE;10/2020;8;R$ 141,456,379
VAREJO;10/2020;126121;R$ 1,280,189,611
CBSS;10/2020;3735;R$ 8,439,132
LOSANGO;10/2020;21795;R$ 41,461,280
EMPRESAS;10/2020;84;R$ 73,435,961
CARTAOCRED;10/2020;5465;R$ 10,892,848
BCO_POSTAL;10/2020;47174;R$ 244,662,207
BRAD_FINAN;09/2020;7137;R$ 179,465,284
CORPORATE;09/2020;13;R$ 567,991,900
VAREJO;09/2020;166801;R$ 1,565,813,304
PRIME;09/2020;6488;R$ 341,653,157
LOSANGO;09/2020;11775;R$ 29,046,101
CARTAOCRED;09/2020;4993;R$ 12,743,407
BCO_POSTAL;09/2020;64799;R$ 326,498,400
BCO_IBI;09/2020;32026;R$ 37,110,248
EMPRESAS;09/2020;189;R$ 166,469,589
CBSS;09/2020;5179;R$ 13,652,857
CBSS;08/2020;8036;R$ 19,460,397
CORPORATE;08/2020;8;R$ 287,566,069
BRAD_FINAN;08/2020;12574;R$ 297,803,443
VAREJO;08/2020;162332;R$ 1,618,969,021
PRIVATE;08/2020;6;R$ 6,270,000
PRIME;08/2020;7005;R$ 351,491,512
EMPRESAS;08/2020;362;R$ 281,037,696
LOSANGO;08/2020;24195;R$ 76,176,904
CARTAOCRED;08/2020;8124;R$ 17,426,804
BCO_POSTAL;08/2020;60805;R$ 313,287,591
BCO_IBI;08/2020;57992;R$ 76,011,005
CORPORATE;07/2020;14;R$ 238,307,790
BRAD_FINAN;07/2020;20337;R$ 561,608,485
VAREJO;07/2020;193474;R$ 2,229,470,360
CBSS;07/2020;3095;R$ 4,271,167
PRIME;07/2020;9896;R$ 490,066,785
LOSANGO;07/2020;50828;R$ 151,823,577
CARTAOCRED;07/2020;12044;R$ 24,764,375
BCO_POSTAL;07/2020;69262;R$ 398,287,087
EMPRESAS;07/2020;553;R$ 97,083,470
BCO_IBI;07/2020;92093;R$ 125,960,641
CREDIARE;06/2020;1775;R$ 2,124,310
CORPORATE;06/2020;30;R$ 1,210,668,925
BRAD_FINAN;06/2020;27823;R$ 606,217,851
VAREJO;06/2020;206128;R$ 3,031,859,404
CBSS;06/2020;3249;R$ 4,273,624
LOSANGO;06/2020;96025;R$ 263,387,758
CARTAOCRED;06/2020;15307;R$ 30,334,051
EMPRESAS;06/2020;413;R$ 200,607,673
BCO_POSTAL;06/2020;69633;R$ 449,501,451
PRIME;06/2020;12899;R$ 644,063,641
BCO_IBI;06/2020;71551;R$ 95,736,696
BCO_IBI;05/2020;44396;R$ 62,224,693
CREDIARE;05/2020;607;R$ 514,836
CORPORATE;05/2020;29;R$ 585,211,618
BRAD_FINAN;05/2020;50852;R$ 1,732,545,555
VAREJO;05/2020;113483;R$ 1,445,045,577
CBSS;05/2020;3022;R$ 3,832,246
PRIME;05/2020;6574;R$ 306,788,889
LOSANGO;05/2020;17362;R$ 80,280,341
CARTAOCRED;05/2020;6825;R$ 15,331,158
BCO_POSTAL;05/2020;41853;R$ 237,771,623
EMPRESAS;05/2020;280;R$ 510,732,928
AMEX;04/2020;36;R$ 167,094
CREDIARE;04/2020;8;R$ 8,931
BCO_IBI;04/2020;24517;R$ 36,265,662
CORPORATE;04/2020;4;R$ 11,299,601
BRAD_FINAN;04/2020;7663;R$ 401,833,848
VAREJO;04/2020;87833;R$ 1,106,639,778
CBSS;04/2020;1872;R$ 2,604,239
PRIME;04/2020;5622;R$ 253,538,660
LOSANGO;04/2020;6188;R$ 15,798,235
CARTAOCRED;04/2020;4641;R$ 10,942,745
BCO_POSTAL;04/2020;32291;R$ 179,918,790
EMPRESAS;04/2020;99;R$ 45,823,149
CREDIARE;03/2020;221;R$ 207,757
AMEX;03/2020;75;R$ 187,194
BCO_IBI;03/2020;31360;R$ 43,560,308
VAREJO;03/2020;79703;R$ 707,554,413
CORPORATE;03/2020;5;R$ 134,558,836
BRAD_FINAN;03/2020;2373;R$ 41,666,927
CBSS;03/2020;499;R$ 832,661
PRIME;03/2020;3456;R$ 144,711,570
LOSANGO;03/2020;7762;R$ 16,802,575
CARTAOCRED;03/2020;6929;R$ 12,594,048
EMPRESAS;03/2020;119;R$ 79,849,129
BCO_POSTAL;03/2020;32810;R$ 146,893,020
CREDIARE;02/2020;471;R$ 413,228
BCO_IBI;02/2020;33288;R$ 46,053,539
CORPORATE;02/2020;1;R$ 2,284,237
AMEX;02/2020;59;R$ 175,609
BRAD_FINAN;02/2020;2199;R$ 38,591,161
PRIME;02/2020;2626;R$ 104,205,354
VAREJO;02/2020;71804;R$ 569,782,726
CBSS;02/2020;43079;R$ 33,259,637
LOSANGO;02/2020;8520;R$ 17,807,575
CARTAOCRED;02/2020;7608;R$ 12,003,201
EMPRESAS;02/2020;162;R$ 114,708,827
BCO_POSTAL;02/2020;30350;R$ 123,327,476
CREDIARE;01/2020;660;R$ 597,469
BCO_IBI;01/2020;36168;R$ 49,184,978
CORPORATE;01/2020;5;R$ 100,510,824
AMEX;01/2020;63;R$ 275,322
BRAD_FINAN;01/2020;2340;R$ 39,462,631
CBSS;01/2020;5714;R$ 6,991,480
PRIME;01/2020;3130;R$ 134,650,761
LOSANGO;01/2020;8999;R$ 104,370,394
VAREJO;01/2020;91884;R$ 648,213,955
CARTAOCRED;01/2020;9122;R$ 13,101,276
EMPRESAS;01/2020;174;R$ 128,710,818
BCO_POSTAL;01/2020;38062;R$ 144,702,730
BCO_POSTAL;12/2019;35228;R$ 149,220,974
CREDIARE;12/2019;673;R$ 623,983
BCO_IBI;12/2019;43334;R$ 56,874,743
CORPORATE;12/2019;5;R$ 1,578,903,816
BRAD_FINAN;12/2019;1990;R$ 34,252,420
VAREJO;12/2019;90465;R$ 624,968,920
AMEX;12/2019;126;R$ 338,268
CBSS;12/2019;4294;R$ 5,089,885
PRIME;12/2019;3255;R$ 128,342,382
LOSANGO;12/2019;11925;R$ 26,366,012
CARTAOCRED;12/2019;10844;R$ 14,319,000
EMPRESAS;12/2019;175;R$ 328,592,579
BCO_POSTAL;11/2019;31242;R$ 137,064,598
CREDIARE;11/2019;625;R$ 628,934
CORPORATE;11/2019;10;R$ 52,834,574
BCO_IBI;11/2019;39286;R$ 58,467,135
BRAD_FINAN;11/2019;2430;R$ 41,441,432
VAREJO;11/2019;77615;R$ 542,654,867
PRIVATE;11/2019;4;R$ 5,100,680
CBSS;11/2019;5647;R$ 6,747,138
PRIME;11/2019;2942;R$ 116,189,855
AMEX;11/2019;82;R$ 792,263
LOSANGO;11/2019;8326;R$ 17,881,450
CARTAOCRED;11/2019;10174;R$ 12,576,912
EMPRESAS;11/2019;105;R$ 65,336,046
BCO_POSTAL;10/2019;36020;R$ 144,384,659
CREDIARE;10/2019;831;R$ 660,754
CORPORATE;10/2019;14;R$ 74,806,830
BRAD_FINAN;10/2019;2566;R$ 42,289,555
BCO_IBI;10/2019;42606;R$ 55,234,749
VAREJO;10/2019;90143;R$ 673,304,534
PRIVATE;10/2019;6;R$ 209,565
CBSS;10/2019;5263;R$ 6,520,591
PRIME;10/2019;4015;R$ 119,665,075
LOSANGO;10/2019;8988;R$ 20,095,067
AMEX;10/2019;142;R$ 235,062
CARTAOCRED;10/2019;12183;R$ 14,637,204
EMPRESAS;10/2019;74;R$ 36,242,908
CREDIARE;09/2019;728;R$ 587,033
BCO_POSTAL;09/2019;35259;R$ 135,550,774
CORPORATE;09/2019;5;R$ 158,354,373
BRAD_FINAN;09/2019;2069;R$ 34,204,825
VAREJO;09/2019;88980;R$ 642,584,985
BCO_IBI;09/2019;41011;R$ 48,547,323
TEMPO;09/2019;2;R$ 428
CBSS;09/2019;5585;R$ 6,835,571
PRIME;09/2019;3355;R$ 132,463,333
LOSANGO;09/2019;10259;R$ 22,643,106
CARTAOCRED;09/2019;9095;R$ 12,719,801
EMPRESAS;09/2019;33;R$ 168,480,260
AMEX;09/2019;216;R$ 533,552
CREDIARE;08/2019;887;R$ 805,547
AMEX;08/2019;345;R$ 3,077,052
BCO_POSTAL;08/2019;41563;R$ 138,582,144
CORPORATE;08/2019;4;R$ 17,111,273
BRAD_FINAN;08/2019;2313;R$ 38,125,154
VAREJO;08/2019;113632;R$ 747,563,685
BCO_IBI;08/2019;37811;R$ 46,300,953
CBSS;08/2019;6253;R$ 7,830,868
PRIME;08/2019;5203;R$ 163,607,965
LOSANGO;08/2019;12819;R$ 23,925,305
CARTAOCRED;08/2019;17344;R$ 29,588,595
EMPRESAS;08/2019;71;R$ 217,789,772
CREDIARE;07/2019;543;R$ 578,682
BCO_POSTAL;07/2019;37863;R$ 136,086,395
CORPORATE;07/2019;11;R$ 325,327,960
AMEX;07/2019;129;R$ 712,658
VAREJO;07/2019;96521;R$ 690,654,875
BCO_IBI;07/2019;37417;R$ 45,748,113
CBSS;07/2019;5569;R$ 7,089,452
PRIME;07/2019;3727;R$ 148,593,226
BRAD_FINAN;07/2019;2475;R$ 39,092,159
LOSANGO;07/2019;13443;R$ 25,305,496
CARTAOCRED;07/2019;13273;R$ 15,969,227
EMPRESAS;07/2019;70;R$ 209,282,921
CREDIARE;06/2019;119;R$ 140,334
BCO_POSTAL;06/2019;30930;R$ 106,273,225
CORPORATE;06/2019;2;R$ 76,399,660
VAREJO;06/2019;79281;R$ 546,506,441
BRAD_FINAN;06/2019;1959;R$ 31,869,858
CBSS;06/2019;795;R$ 1,231,650
PRIME;06/2019;3058;R$ 123,067,801
AMEX;06/2019;159;R$ 516,950
BCO_IBI;06/2019;71514;R$ 95,369,074
LOSANGO;06/2019;10762;R$ 19,398,101
CARTAOCRED;06/2019;4228;R$ 8,356,793
EMPRESAS;06/2019;55;R$ 107,989,390
CREDIARE;05/2019;267;R$ 326,764
BCO_POSTAL;05/2019;37388;R$ 131,686,783
CORPORATE;05/2019;7;R$ 435,288,686
VAREJO;05/2019;92513;R$ 678,009,418
BRAD_FINAN;05/2019;1758;R$ 26,714,613
CBSS;05/2019;950;R$ 1,529,213
PRIME;05/2019;3641;R$ 135,598,443
BCO_IBI;05/2019;29785;R$ 33,654,064
LOSANGO;05/2019;11211;R$ 21,147,322
CARTAOCRED;05/2019;20508;R$ 29,553,353
AMEX;05/2019;171;R$ 1,682,731
EMPRESAS;05/2019;57;R$ 153,466,956
EMPRESAS;04/2019;60;R$ 88,300,408
CREDIARE;04/2019;362;R$ 470,965
AMEX;04/2019;176;R$ 1,030,715
BCO_POSTAL;04/2019;34053;R$ 116,209,611
CORPORATE;04/2019;4;R$ 78,441,484
VAREJO;04/2019;84043;R$ 593,408,127
TEMPO;04/2019;1;R$ 197
BRAD_FINAN;04/2019;1851;R$ 28,304,411
CBSS;04/2019;869;R$ 1,469,603
PRIME;04/2019;3428;R$ 128,399,587
LOSANGO;04/2019;10256;R$ 14,952,852
BCO_IBI;04/2019;27794;R$ 31,191,863
CARTAOCRED;04/2019;20687;R$ 28,877,298
EMPRESAS;03/2019;44;R$ 70,955,641
CREDIARE;03/2019;79;R$ 94,066
